loan_id;account_id;date;amount;duration;payments;status
5314;1787;930705;96396;12;8033;-1
5316;1801;930711;165960;36;4610;1
6863;9188;930728;127080;60;2118;1
5325;1843;930803;105804;36;2939;1
7240;11013;930906;274740;60;4579;1
6687;8261;930913;87840;24;3660;1
7284;11265;930915;52788;12;4399;1
6111;5428;930924;174744;24;7281;-1
7235;10973;931013;154416;48;3217;1
5997;4894;931104;117024;24;4876;1
7121;10364;931110;21924;36;609;1
6077;5270;931122;79608;24;3317;1
6228;6034;931201;464520;60;7742;-1
6356;6701;931208;95400;36;2650;1
5523;2705;931208;93888;36;2608;1
6456;7123;931209;47016;12;3918;1
7104;10320;931213;259740;60;4329;1
6820;9034;931216;38148;12;3179;1
6876;9236;931221;86616;12;7218;1
7097;10266;931223;75624;24;3151;-1
4959;2;940105;80952;24;3373;1
6499;7401;940105;80952;24;3373;1
5479;2486;940110;24516;12;2043;1
5170;1071;940120;253200;60;4220;1
6721;8475;940121;21072;24;878;1
7259;11111;940131;108144;36;3004;1
5285;1603;940206;78936;12;6578;1
5189;1166;940207;149040;48;3105;1
6650;8073;940217;49320;12;4110;-1
7226;10940;940223;197748;36;5493;1
6087;5313;940227;300660;60;5011;1
7262;11135;940301;182628;36;5073;1
5519;2694;940308;91632;12;7636;1
6577;7753;940311;51696;24;2154;1
6509;7445;940315;55368;24;2307;1
6520;7485;940316;91200;24;3800;1
6699;8330;940330;7656;24;319;1
6336;6555;940331;212400;36;5900;1
7055;10079;940406;167100;60;2785;1
6103;5385;940407;149340;60;2489;1
6202;5891;940418;65184;12;5432;1
7066;10131;940502;215388;36;5983;-1
6696;8321;940509;89040;60;1484;1
6072;5256;940510;193968;36;5388;1
5130;813;940511;24312;12;2026;1
5568;2933;940517;272520;60;4542;1
6678;8173;940520;80340;12;6695;1
6998;9833;940521;97632;12;8136;1
6580;7769;940522;196080;48;4085;1
6316;6473;940526;76908;12;6409;-1
6512;7454;940526;63312;48;1319;1
6407;6930;940526;25944;24;1081;1
5002;173;940531;104808;12;8734;1
6647;8051;940601;208320;48;4340;1
7137;10439;940603;151560;24;6315;1
6903;9337;940604;52128;24;2172;1
5918;4576;940604;300204;36;8339;1
6642;8027;940605;77640;12;6470;1
6210;5927;940606;87216;48;1817;-1
6279;6273;940607;87360;24;3640;1
7249;11065;940612;69360;48;1445;1
6736;8558;940614;288360;60;4806;1
6112;5442;940617;174744;24;7281;-1
5319;1811;940623;239460;60;3991;1
6596;7844;940625;91584;24;3816;1
5837;4260;940629;244560;60;4076;1
5657;3354;940705;4980;12;415;1
5533;2762;940705;111384;24;4641;1
6232;6051;940708;276660;36;7685;-1
6888;9265;940711;39576;12;3298;1
6066;5228;940711;173808;24;7242;1
5549;2824;940716;50460;60;841;1
5060;426;940719;252060;60;4201;-1
6004;4937;940723;143904;24;5996;1
5126;790;940724;208128;48;4336;-1
7220;10911;940728;131292;36;3647;1
6668;8129;940730;74736;36;2076;1
5395;2176;940730;299088;36;8308;-1
6836;9093;940803;189300;60;3155;1
6064;5215;940804;14628;12;1219;1
6919;9403;940805;120888;36;3358;1
6841;9104;940807;172080;48;3585;1
6038;5120;940810;323472;48;6739;1
6729;8519;940811;74688;12;6224;1
7198;10788;940823;45768;12;3814;1
6686;8260;940825;224604;36;6239;1
5836;4259;940827;79632;24;3318;1
7061;10105;940827;121896;24;5079;1
5595;3050;940902;82896;12;6908;1
5723;3674;940910;23628;12;1969;1
6120;5481;940911;209184;48;4358;1
6895;9307;940919;41904;12;3492;1
5882;4427;940926;87816;12;7318;1
5754;3834;940928;23052;12;1921;1
6594;7824;940928;189696;24;7904;-1
6738;8566;940929;230220;36;6395;-1
6624;7965;940930;71460;12;5955;1
6216;5952;940930;141240;24;5885;1
6229;6040;941002;11736;24;489;1
5887;4448;941003;192744;36;5354;1
6808;8982;941012;227880;36;6330;1
6297;6363;941025;17508;12;1459;1
5161;1012;941028;98184;24;4091;1
5390;2167;941030;170256;24;7094;1
6150;5622;941102;83016;12;6918;1
6223;5991;941103;61056;48;1272;1
5032;290;941103;123696;48;2577;1
6253;6148;941104;59760;24;2490;1
6460;7133;941106;48672;36;1352;1
6645;8041;941106;140400;36;3900;1
5176;1106;941112;192552;24;8023;-1
5269;1527;941119;164052;36;4557;-1
5351;1978;941204;205200;36;5700;1
5861;4337;941208;51408;24;2142;1
5450;2345;941211;199680;60;3328;1
7142;10451;941219;482940;60;8049;-1
6306;6425;941220;36684;12;3057;1
6272;6226;941220;398640;60;6644;1
5044;344;941221;100980;60;1683;1
5576;2962;941221;31248;12;2604;1
7192;10738;941221;115992;36;3222;1
5739;3747;950102;76380;12;6365;1
6526;7523;950103;288468;36;8013;1
5624;3166;950103;177744;48;3703;-1
6244;6118;950108;270648;36;7518;-1
5131;816;950108;48624;24;2026;1
6960;9640;950111;76416;24;3184;1
6358;6715;950114;137880;60;2298;-1
5418;2245;950116;347952;48;7249;1
6598;7857;950118;68112;12;5676;1
5464;2419;950130;95808;12;7984;1
6591;7819;950202;20832;48;434;1
5724;3678;950205;316140;60;5269;-1
6315;6472;950206;43164;12;3597;1
5876;4413;950208;221280;48;4610;1
6986;9750;950211;151728;48;3161;-1
6294;6353;950212;79920;60;1332;1
5132;817;950217;538500;60;8975;1
5877;4414;950223;97224;24;4051;1
6227;6030;950304;28248;24;1177;1
7241;11021;950304;168984;24;7041;-1
6737;8564;950311;76680;24;3195;1
7004;9869;950315;331560;60;5526;1
6169;5700;950316;103680;60;1728;-1
5208;1247;950316;99696;48;2077;-1
6694;8316;950319;134784;24;5616;1
5599;3064;950321;15420;12;1285;1
6546;7607;950327;31728;24;1322;1
5414;2228;950329;185952;48;3874;1
5453;2361;950401;156672;36;4352;1
5740;3752;950402;18564;12;1547;1
5804;4079;950405;158976;48;3312;1
6745;8625;950410;47304;24;1971;1
6950;9591;950411;104712;24;4363;1
6996;9828;950413;126600;24;5275;1
5352;1993;950415;68400;12;5700;-1
6151;5628;950425;225420;60;3757;1
5310;1762;950428;248148;36;6893;1
5045;347;950501;187224;24;7801;-1
6929;9472;950508;36396;12;3033;1
5151;960;950524;189060;60;3151;1
5212;1256;950529;71064;36;1974;1
5138;854;950530;87216;48;1817;1
5713;3629;950530;158760;60;2646;1
6704;8377;950601;417060;60;6951;1
6474;7190;950606;63360;60;1056;1
6676;8159;950613;29784;24;1241;1
6965;9656;950613;139536;24;5814;1
6725;8489;950623;265320;36;7370;1
7166;10630;950624;198240;24;8260;1
7138;10440;950703;60000;60;1000;1
5970;4774;950709;465072;48;9689;1
6157;5650;950710;98592;24;4108;1
6153;5632;950725;285600;60;4760;1
5693;3489;950801;44088;24;1837;1
5922;4580;950805;20220;12;1685;1
5959;4727;950811;107640;24;4485;1
5980;4825;950818;21396;12;1783;1
6764;8776;950826;33984;48;708;1
5237;1375;950829;45336;24;1889;1
6726;8492;950903;85860;60;1431;1
6933;9493;950909;188688;48;3931;1
5145;915;950916;309552;48;6449;1
7008;9897;950922;36168;12;3014;1
7227;10942;951002;314520;60;5242;1
6600;7861;951008;21852;36;607;1
6712;8405;951014;266220;60;4437;1
7057;10093;951020;231696;36;6436;1
7176;10663;951028;260028;36;7223;1
7304;11349;951029;419880;60;6998;1
6362;6738;951031;37908;12;3159;1
5880;4423;951031;73836;36;2051;1
6535;7546;951102;41952;12;3496;1
5449;2343;951104;99336;24;4139;1
6342;6609;951112;60156;36;1671;-1
5409;2218;951118;182040;60;3034;1
6955;9627;951122;244368;48;5091;1
6985;9731;951122;113796;36;3161;1
5125;789;951123;73056;48;1522;1
5805;4081;951128;137904;24;5746;-1
6185;5774;951128;31176;24;1299;1
7243;11042;951204;217152;36;6032;1
6403;6924;951205;194880;48;4060;1
6578;7765;951211;27984;12;2332;1
5413;2227;951212;92976;24;3874;1
6949;9583;951212;104712;24;4363;1
6545;7606;951212;191880;60;3198;1
6178;5742;951216;232560;48;4845;1
5160;1011;951218;204000;60;3400;1
6785;8899;951225;125340;60;2089;1
6540;7562;951231;309600;48;6450;1
6589;7815;960101;189696;24;7904;1
5900;4503;960101;135360;48;2820;1
5999;4907;960103;98832;48;2059;1
6043;5126;960111;20352;48;424;1
5482;2496;960112;165120;60;2752;1
7263;11138;960119;89880;24;3745;1
6013;4995;960203;128988;36;3583;-1
5750;3804;960208;63252;12;5271;1
6027;5066;960210;61656;24;2569;-1
6303;6400;960212;72408;24;3017;-1
7213;10884;960213;113544;36;3154;1
6659;8092;960220;56100;60;935;1
6175;5735;960221;290700;60;4845;-1
5610;3112;960224;123216;48;2567;1
5563;2912;960229;380160;60;6336;1
5989;4852;960304;213300;36;5925;1
6698;8327;960310;247728;48;5161;1
5312;1772;960313;202788;36;5633;1
7189;10728;960321;154656;48;3222;1
6816;9017;960326;100224;48;2088;-1
6137;5574;960410;44628;12;3719;1
5128;808;960411;215616;48;4492;-1
5470;2456;960415;200976;48;4187;1
5593;3037;960418;277884;36;7719;-1
5350;1967;960421;249312;48;5194;1
6063;5213;960425;320976;48;6687;-1
6501;7418;960429;30276;12;2523;-1
5452;2352;960429;49440;60;824;1
4961;19;960429;30276;12;2523;-1
4973;67;960502;165960;24;6915;1
6190;5794;960506;123600;60;2060;1
6715;8411;960506;220620;60;3677;1
5892;4462;960514;66480;24;2770;-1
6550;7614;960518;320592;48;6679;1
5706;3608;960524;161496;36;4486;1
5148;940;960529;284280;60;4738;1
6734;8547;960530;173016;36;4806;1
6109;5422;960603;368880;60;6148;1
6961;9645;960606;176148;36;4893;1
6810;9006;960608;186384;48;3883;1
5494;2572;960613;360000;48;7500;1
5311;1766;960615;30060;60;501;1
5445;2322;960629;46320;24;1930;1
5301;1698;960706;141948;36;3943;1
7034;10001;960711;19044;36;529;1
6751;8680;960714;85716;36;2381;1
6667;8127;960715;155880;24;6495;1
6130;5541;960718;32640;48;680;1
5429;2268;960718;20196;36;561;1
5725;3679;960723;444864;48;9268;1
6019;5033;960725;11400;12;950;1
6421;6985;960725;96768;36;2688;1
6992;9790;960727;133968;48;2791;1
5136;846;960728;187104;24;7796;1
5337;1886;960731;162468;36;4513;1
5495;2580;960802;89340;60;1489;1
7013;9928;960802;89340;60;1489;1
6012;4994;960803;258444;36;7179;1
6471;7184;960804;155640;24;6485;1
6296;6358;960806;270384;48;5633;1
7305;11359;960806;54024;12;4502;1
6144;5593;960809;44376;12;3698;1
6283;6289;960811;85632;48;1784;1
7246;11054;960820;148920;60;2482;1
5088;544;960822;91152;24;3798;1
5988;4851;960822;141648;24;5902;1
5282;1583;960824;388512;48;8094;-1
5938;4650;960825;402000;60;6700;1
5606;3084;960828;253512;36;7042;-1
5385;2143;960909;71460;36;1985;1
6865;9199;960911;29448;12;2454;-1
5586;2994;960914;48744;36;1354;1
6302;6397;960916;181020;60;3017;1
7194;10762;960917;68832;36;1912;1
6461;7136;960919;74124;36;2059;1
6732;8533;960919;174048;48;3626;1
6613;7926;960922;84120;24;3505;1
7036;10019;960925;194940;36;5415;1
5897;4476;960925;15192;24;633;1
6995;9814;960926;96168;12;8014;1
5415;2236;960926;139464;36;3874;-1
7136;10436;960928;54396;36;1511;1
7271;11186;961002;392460;60;6541;1
5375;2106;961003;101520;12;8460;1
5635;3230;961004;77184;36;2144;1
6817;9024;961004;70656;48;1472;1
5923;4585;961010;64656;48;1347;1
5329;1862;961016;396120;60;6602;1
6644;8039;961020;93600;24;3900;1
6354;6688;961023;22968;36;638;1
5082;501;961024;262980;60;4383;1
6585;7795;961029;372120;60;6202;1
6921;9422;961029;86184;12;7182;1
5366;2062;961029;86184;12;7182;1
5886;4447;961031;192744;36;5354;1
5741;3754;961103;68544;24;2856;1
4996;132;961106;88440;12;7370;1
6015;5001;961109;110112;24;4588;1
6309;6434;961111;110136;24;4589;1
6073;5263;961112;276300;60;4605;1
6006;4948;961115;359760;60;5996;1
5611;3115;961115;321180;60;5353;1
6944;9548;961115;46176;48;962;1
7101;10297;961118;421008;48;8771;1
6599;7859;961119;72120;12;6010;1
6940;9510;961122;228276;36;6341;1
5209;1250;961125;182640;48;3805;1
5388;2153;961128;61560;12;5130;1
6011;4981;961128;179328;48;3736;1
5591;3021;961204;155616;48;3242;1
7154;10520;961205;417600;60;6960;1
7130;10411;961211;123408;24;5142;1
6818;9030;961212;155616;48;3242;1
5625;3189;961215;222180;60;3703;-1
6805;8972;961221;45024;48;938;1
7233;10963;961225;115812;36;3217;1
7308;11362;961227;129408;24;5392;1